Protein,Partition_type,Curve_type,p_value,test_statistic,test_result,is_significant
14-3-3_epsilon,half,Overall,0.0673984715922,3.34526875525,Cannot Reject Null,False
14-3-3_epsilon,quarter,Overall,0.205050885815,1.60602911376,Cannot Reject Null,False
14-3-3_epsilon,half,Disease_Free,0.496106355399,0.463255656738,Cannot Reject Null,False
14-3-3_epsilon,quarter,Disease_Free,0.507469550557,0.439281289218,Cannot Reject Null,False
4E-BP1,half,Overall,0.705711368634,0.142598426217,Cannot Reject Null,False
4E-BP1,quarter,Overall,0.666690544172,0.185497721884,Cannot Reject Null,False
4E-BP1,half,Disease_Free,0.836780940059,0.042441259391,Cannot Reject Null,False
4E-BP1,quarter,Disease_Free,0.968956789669,0.00151451074072,Cannot Reject Null,False
4E-BP1_pS65,half,Overall,0.107202296595,2.59498733283,Cannot Reject Null,False
4E-BP1_pS65,quarter,Overall,0.136799787162,2.21359236404,Cannot Reject Null,False
4E-BP1_pS65,half,Disease_Free,0.304805187211,1.0530521842,Cannot Reject Null,False
4E-BP1_pS65,quarter,Disease_Free,0.438900477509,0.599155356266,Cannot Reject Null,False
4E-BP1_pT37_T46,half,Overall,0.0458439559171,3.98731893278,Reject Null,True
4E-BP1_pT37_T46,quarter,Overall,0.556116887113,0.34647232409,Cannot Reject Null,False
4E-BP1_pT37_T46,half,Disease_Free,0.92492019368,0.00888077828388,Cannot Reject Null,False
4E-BP1_pT37_T46,quarter,Disease_Free,0.689673626847,0.159438907727,Cannot Reject Null,False
53BP1,half,Overall,0.0830742536222,3.00370666338,Cannot Reject Null,False
53BP1,quarter,Overall,0.140052381374,2.17738353562,Cannot Reject Null,False
53BP1,half,Disease_Free,0.61634739613,0.25103478229,Cannot Reject Null,False
53BP1,quarter,Disease_Free,0.403987136327,0.696426254614,Cannot Reject Null,False
ACC_pS79,half,Overall,0.763885921349,0.0902292440631,Cannot Reject Null,False
ACC_pS79,quarter,Overall,0.686021833112,0.163425821369,Cannot Reject Null,False
ACC_pS79,half,Disease_Free,0.953061669109,0.00346478766792,Cannot Reject Null,False
ACC_pS79,quarter,Disease_Free,0.506704025744,0.440867544106,Cannot Reject Null,False
ACC1,half,Overall,0.998305500969,4.51027663264e-06,Cannot Reject Null,False
ACC1,quarter,Overall,0.913196580749,0.0118826243085,Cannot Reject Null,False
ACC1,half,Disease_Free,0.0239105926675,5.10110601896,Reject Null,True
ACC1,quarter,Disease_Free,0.149022667813,2.08222649625,Cannot Reject Null,False
Akt,half,Overall,0.601134128388,0.273288758986,Cannot Reject Null,False
Akt,quarter,Overall,0.10297305173,2.65888257813,Cannot Reject Null,False
Akt,half,Disease_Free,0.301690437772,1.0667070225,Cannot Reject Null,False
Akt,quarter,Disease_Free,0.567737339598,0.326483103296,Cannot Reject Null,False
Akt_pS473,half,Overall,0.648815700536,0.207396497624,Cannot Reject Null,False
Akt_pS473,quarter,Overall,0.163891880989,1.93794459188,Cannot Reject Null,False
Akt_pS473,half,Disease_Free,0.612444028781,0.256631259022,Cannot Reject Null,False
Akt_pS473,quarter,Disease_Free,0.739634622106,0.11044804179,Cannot Reject Null,False
Akt_pT308,half,Overall,0.84056304563,0.0404707082483,Cannot Reject Null,False
Akt_pT308,quarter,Overall,0.99262652361,8.54037279296e-05,Cannot Reject Null,False
Akt_pT308,half,Disease_Free,0.968048970859,0.00160443386614,Cannot Reject Null,False
Akt_pT308,quarter,Disease_Free,0.392738738679,0.730445759399,Cannot Reject Null,False
AMPK_alpha,half,Overall,0.0934203791793,2.81442478164,Cannot Reject Null,False
AMPK_alpha,quarter,Overall,0.680553791899,0.169503105115,Cannot Reject Null,False
AMPK_alpha,half,Disease_Free,0.781811919506,0.0767060487801,Cannot Reject Null,False
AMPK_alpha,quarter,Disease_Free,0.720973813125,0.12756156315,Cannot Reject Null,False
AMPK_pT172,half,Overall,0.75894204649,0.0941694211247,Cannot Reject Null,False
AMPK_pT172,quarter,Overall,0.501101148223,0.452603566677,Cannot Reject Null,False
AMPK_pT172,half,Disease_Free,0.406043488516,0.690355499399,Cannot Reject Null,False
AMPK_pT172,quarter,Disease_Free,0.99264654006,8.49406607489e-05,Cannot Reject Null,False
AR,half,Overall,0.0309941651496,4.65328580309,Reject Null,True
AR,quarter,Overall,0.0207656778509,5.34635165813,Reject Null,True
AR,half,Disease_Free,0.881755305784,0.0221249036956,Cannot Reject Null,False
AR,quarter,Disease_Free,0.681213892573,0.168762578757,Cannot Reject Null,False
ATM,half,Overall,0.841782433675,0.0398457714813,Cannot Reject Null,False
ATM,quarter,Overall,0.900359593096,0.0156768189651,Cannot Reject Null,False
ATM,half,Disease_Free,0.722270911538,0.12632722585,Cannot Reject Null,False
ATM,quarter,Disease_Free,0.492590530602,0.470862750347,Cannot Reject Null,False
Bak,half,Overall,0.103951542508,2.64384715156,Cannot Reject Null,False
Bak,quarter,Overall,0.00685511739673,7.31054392918,Reject Null,True
Bak,half,Disease_Free,0.127207557211,2.32625538937,Cannot Reject Null,False
Bak,quarter,Disease_Free,0.517810313513,0.418252479345,Cannot Reject Null,False
Bax,half,Overall,0.293632458541,1.10289130356,Cannot Reject Null,False
Bax,quarter,Overall,0.0373535259734,4.33422005334,Reject Null,True
Bax,half,Disease_Free,0.365475290594,0.818991165185,Cannot Reject Null,False
Bax,quarter,Disease_Free,0.703675199186,0.144676807994,Cannot Reject Null,False
Bcl-2,half,Overall,0.567857503603,0.326280521598,Cannot Reject Null,False
Bcl-2,quarter,Overall,0.804900256702,0.0610140858028,Cannot Reject Null,False
Bcl-2,half,Disease_Free,0.152467192096,2.04739179568,Cannot Reject Null,False
Bcl-2,quarter,Disease_Free,0.0207238186732,5.34986975849,Reject Null,True
Bcl-xL,half,Overall,0.0441182432197,4.0520307057,Reject Null,True
Bcl-xL,quarter,Overall,0.50119922813,0.452396200312,Cannot Reject Null,False
Bcl-xL,half,Disease_Free,0.359327103926,0.840243622641,Cannot Reject Null,False
Bcl-xL,quarter,Disease_Free,0.548012824876,0.360889174761,Cannot Reject Null,False
Beclin,half,Overall,0.840162413834,0.0406771364358,Cannot Reject Null,False
Beclin,quarter,Overall,0.114333850438,2.49327138108,Cannot Reject Null,False
Beclin,half,Disease_Free,0.158096537304,1.99233894036,Cannot Reject Null,False
Beclin,quarter,Disease_Free,0.671749799365,0.179562141669,Cannot Reject Null,False
beta-Catenin,half,Overall,0.571848931596,0.319598666412,Cannot Reject Null,False
beta-Catenin,quarter,Overall,0.109271648411,2.56472368733,Cannot Reject Null,False
beta-Catenin,half,Disease_Free,0.153143695852,2.04065495064,Cannot Reject Null,False
beta-Catenin,quarter,Disease_Free,0.718383615835,0.130046707562,Cannot Reject Null,False
Bid,half,Overall,0.833786991851,0.0440358156307,Cannot Reject Null,False
Bid,quarter,Overall,0.0640537374594,3.4291841288,Cannot Reject Null,False
Bid,half,Disease_Free,0.933641260221,0.0069329700315,Cannot Reject Null,False
Bid,quarter,Disease_Free,0.757721618542,0.0951562595388,Cannot Reject Null,False
Bim,half,Overall,0.67552323339,0.175209073635,Cannot Reject Null,False
Bim,quarter,Overall,0.371765572226,0.797754546682,Cannot Reject Null,False
Bim,half,Disease_Free,0.656735619469,0.197513239432,Cannot Reject Null,False
Bim,quarter,Disease_Free,0.907978880478,0.0133606421222,Cannot Reject Null,False
c-Jun_pS73,half,Overall,0.243696616404,1.35908214965,Cannot Reject Null,False
c-Jun_pS73,quarter,Overall,0.584820955326,0.298505345904,Cannot Reject Null,False
c-Jun_pS73,half,Disease_Free,0.0386846878346,4.27466064288,Reject Null,True
c-Jun_pS73,quarter,Disease_Free,0.436146845515,0.606399093315,Cannot Reject Null,False
c-Met_pY1235,half,Overall,0.0295115039479,4.7375246757,Reject Null,True
c-Met_pY1235,quarter,Overall,0.00430410763964,8.15084603148,Reject Null,True
c-Met_pY1235,half,Disease_Free,0.0912556198412,2.85208321577,Cannot Reject Null,False
c-Met_pY1235,quarter,Disease_Free,0.355636365731,0.853243564167,Cannot Reject Null,False
c-Myc,half,Overall,0.135681116451,2.22626923131,Cannot Reject Null,False
c-Myc,quarter,Overall,0.40430749612,0.695477527003,Cannot Reject Null,False
c-Myc,half,Disease_Free,0.959084093073,0.00263199581666,Cannot Reject Null,False
c-Myc,quarter,Disease_Free,0.842692237084,0.0393827900112,Cannot Reject Null,False
C-Raf,half,Overall,0.589847794901,0.290582027046,Cannot Reject Null,False
C-Raf,quarter,Overall,0.156730174915,2.00549452899,Cannot Reject Null,False
C-Raf,half,Disease_Free,0.420015581826,0.650271629058,Cannot Reject Null,False
C-Raf,quarter,Disease_Free,0.464142835053,0.53588572465,Cannot Reject Null,False
C-Raf_pS338,half,Overall,0.381447864029,0.766030477746,Cannot Reject Null,False
C-Raf_pS338,quarter,Overall,0.671242324947,0.180152374571,Cannot Reject Null,False
C-Raf_pS338,half,Disease_Free,0.67527014053,0.17549907856,Cannot Reject Null,False
C-Raf_pS338,quarter,Disease_Free,0.770914312275,0.084785294076,Cannot Reject Null,False
Caspase-7_cleavedD198,half,Overall,0.210009211148,1.57136280903,Cannot Reject Null,False
Caspase-7_cleavedD198,quarter,Overall,0.284457325002,1.14567039527,Cannot Reject Null,False
Caspase-7_cleavedD198,half,Disease_Free,0.0543662130184,3.7014190239,Cannot Reject Null,False
Caspase-7_cleavedD198,quarter,Disease_Free,0.0420775835852,4.13208074267,Reject Null,True
Caveolin-1,half,Overall,0.603667027852,0.269500515143,Cannot Reject Null,False
Caveolin-1,quarter,Overall,0.232953500074,1.42273658036,Cannot Reject Null,False
Caveolin-1,half,Disease_Free,0.49319326984,0.469552156097,Cannot Reject Null,False
Caveolin-1,quarter,Disease_Free,0.509234137384,0.435640506676,Cannot Reject Null,False
CD31,half,Overall,0.0091529315287,6.79274006021,Reject Null,True
CD31,quarter,Overall,0.0261637357258,4.94516537311,Reject Null,True
CD31,half,Disease_Free,0.882500894599,0.0218447331563,Cannot Reject Null,False
CD31,quarter,Disease_Free,0.41033962746,0.677816478248,Cannot Reject Null,False
CD49b,half,Overall,0.815997353012,0.0541475018239,Cannot Reject Null,False
CD49b,quarter,Overall,0.781976207144,0.076587585026,Cannot Reject Null,False
CD49b,half,Disease_Free,0.112282697631,2.52179514667,Cannot Reject Null,False
CD49b,quarter,Disease_Free,0.0465812717865,3.96044918803,Reject Null,True
CDK1,half,Overall,0.511231041231,0.431546575893,Cannot Reject Null,False
CDK1,quarter,Overall,0.583330032978,0.300881969125,Cannot Reject Null,False
CDK1,half,Disease_Free,0.84325046613,0.0391001098461,Cannot Reject Null,False
CDK1,quarter,Disease_Free,0.715454844578,0.132889377723,Cannot Reject Null,False
Chk1,half,Overall,0.719356010514,0.129110577714,Cannot Reject Null,False
Chk1,quarter,Overall,0.536845211942,0.381418206398,Cannot Reject Null,False
Chk1,half,Disease_Free,0.429935353601,0.622998091287,Cannot Reject Null,False
Chk1,quarter,Disease_Free,0.36572693665,0.818131846872,Cannot Reject Null,False
Chk1_pS345,half,Overall,0.338714320958,0.915291478723,Cannot Reject Null,False
Chk1_pS345,quarter,Overall,0.246591655353,1.34251087474,Cannot Reject Null,False
Chk1_pS345,half,Disease_Free,0.508604712345,0.43693666955,Cannot Reject Null,False
Chk1_pS345,quarter,Disease_Free,0.618834343658,0.247509297432,Cannot Reject Null,False
Chk2,half,Overall,0.611113976825,0.258555949574,Cannot Reject Null,False
Chk2,quarter,Overall,0.529685900702,0.394994103953,Cannot Reject Null,False
Chk2,half,Disease_Free,0.979620770734,0.00065251401529,Cannot Reject Null,False
Chk2,quarter,Disease_Free,0.405234115392,0.69273955899,Cannot Reject Null,False
